this_year_bycond,this_year_descrip_e,this_year_descrip_f,last_year_bycond,last_year_descrip_e,last_year_descrip_f
LEVEL3ID = 333,MFM - ADM Office / MED - Economic Development / MFMA - Business Management & Administration Unit / MFMZ - Business Intelligence Unit / MHD - International Humanitarian Assistance / MLD - Innovative and Climate Finance Bureau,MFM - Bureau du SMA / MED - Développement économique / MFMA - Unité de gestion et d'administration / MFMZ - Unité d'intelligence d'affaires / MHD - Assistance humanitaire internationale / MLD - Direction du financement innovant et climatique,LEVEL3ID = 333,MFM ADM Office / MHD - International Humanitarian Assistance / MED - Economic Development / MFMZ - Business Intelligence Unit,Bureau du SMA MFM / MHD - Assistance humanitaire internationale / MED - Développement économique / MFMZ - Unité de l'intelligence d'affaires
LEVEL3ID = 334,MGD - Social Development / MND - Health and Nutrition / MSD - Food Security and Environment,MGD - Développement social / MND - Santé et de la nutrition / MSD - Sécurité alimentaire et de l'environnement,LEVEL3ID = 334,MSD - Food Security and Environment / MND - Health and Nutrition / MGD - Social Development,MSD - Sécurité alimentaire et environnement / MND - Santé et nutrition / MGD - Développement social
LEVEL2ID = 215,NGM - Americas,NGM - Amériques,LEVEL2ID = 214,NGM - Americas and Chief Development Officer,NGM - Amériques et dirigeant principal du développement
LEVEL3ID = 336,NGM - ADM Office / NGD - North America Strategy Bureau / NMD - Geographic Coordination and Mission Support Bureau,NGM - Bureau du SMA / NGD - Direction générale de la Stratégie pour l'Amérique du nord / NMD - Direction générale de la coordination géographique et appui aux missions,LEVEL3ID = 336,NGM ADM Office / NGD - North America Strategy / NMD - Geographic Coordination and Mission Support,Bureau du SMA NGM / NGD - Direction générale de la Stratégie pour l'Amérique du Nord / NMD - Coordination géographique et soutien aux missions
LEVEL3ID = 338,NLD - South America and Inter-American Affairs,NLD - Amérique du Sud et Affaires interaméricaines,LEVEL3ID = 338,NLD - South America and Inter-American Affairs,NLD - Amérique du Sud et Affaires inter-américaines
LEVEL3ID = 340,OGM - ADM Office / OSD - Southeast Asia,OGM - Bureau du SMA / OSD - Asie Sud-Est,LEVEL3ID = 340,OGM ADM Office / OBMO - Business Management Office for Asia and Americas / OGMA - Strategic Planning Operations & TRIGR / OSD - Southeast Asia,Bureau du SMA OGM / OBMO - Bureau de gestion des activités des secteurs de l'Asie et des Amériques / OGMA - Plan stratégique opérations & CRIC / OSD - Asie Sud-Est
LEVEL3ID = 341,OPD - Trade & Diplomacy North Asia,OPD - Asie du nord,LEVEL3ID = 341,OPD - Trade and Diplomacy North Asia,OPD - Commerce et diplomatie Asie du nord
LEVEL3ID = 342,OAD - South Asia,OAD - Asie du Sud,LEVEL3ID = 342,OAD - Development Asia,OAD - Développement en Asie
LEVEL3ID = 343,PFM - ADM Office / PED - International Economic Policy / POD - Foreign Policy / PRD - Evaluation and Results Bureau / PVD - International Assistance Policy,PFM - Bureau du SMA / PED - Politiques économiques internationales / POD - Politique étrangère / PRD - Bureau de l'évaluation et résultats / PVD - Politique d'aide internationale,LEVEL3ID = 343,PFM ADM Office / PBMO - Business Management Office of the Strategic Policy Branch / PED - International Economic Policy / POD - Foreign Policy / PRD - Evaluation and Results,Bureau du SMA PFM / PBMO - Bureau de la gestion des activités du secteur des politiques stratégiques / PED - Politiques économiques internationales / POD - Politique étrangère / PRD - Évaluation et résultats
LEVEL3ID = 344,"SCM - ADM Office / SED - Export & import controls system / SPD - Procurement, Asset Management / SRD - Corporate Planning and Reporting",SCM - Bureau du SMA / SED - Système contrôle de l'import-export / SPD - Approvisionnement et gestion de l'actif / SRD - Planification ministérielle et rapports,LEVEL3ID = 345,"SCM ADM Office / SBMO - Business Management Office of the Corporate Planning, Finance and IT / SRD - Corporate Planning, Performance, and Risk Management / SED - IM/IT Project Executive / SPD - Procurement, Asset Management","Bureau du SMA SCM / SBMO - Bureau de la gestion des activités du secteur planification ministérielle, finance et TI / SRD - Planification ministérielle, gestion du rendement et du risque / SED - Projet de GI/TI de la haute direction / SPD - Approvisionnement et gestion de l'actif"
